date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Feb%202026%2001:53:04%20GMT	http://asesoriabeca18.web.app/calculadoras/seleccion.html	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/calculadoras/seleccion.0.delayed	(from )
20:53:04	13929/13929	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/calculadoras/seleccion.html	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/calculadoras/seleccion.html	(from )
20:53:05	852/852	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/robots.txt		(from )
20:53:05	1371/1371	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS32.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS32.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:05	198636/198636	---M--	200	added ('OK')	text/javascript	etag:5396879999695634543	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6175076564917081	C:/My%20Web%20Sites/beca18-2026/pagead2.googlesyndication.com/pagead/js/f6881.txt	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:05	667/667	---M-Z	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS16.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS16.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:06	1562620/1562620	---M-Z	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:20	220780/220780	---M-Z	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/beca18-2026/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:20	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:20	202983/202983	---M-Z	200	added ('OK')	application/javascript	etag:%2261196c0a-bc15%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.3.2/html2canvas.min.js	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/html2canvas/1.3.2/html2canvas.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:20	364463/364463	---M-Z	200	added ('OK')	application/javascript	etag:%2261f43d69-1c721%22	https://cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:21	4733/4733	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/main.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/main.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:21	5994/5994	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/header.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/header.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:21	1863/1863	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/footer.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/footer.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:21	3435/3435	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/buttons.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/buttons.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:21	4359/4359	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/cards.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/cards.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:22	6241/6241	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/pages/calculadoras.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/pages/calculadoras.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:22	80599/80599	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213ad7-v/eN2cAqUAirQ2QpSHOc5Yx2GyE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/beca18-2026/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:22	3285/3285	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/components/header.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/components/header.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:22	3841/3841	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/common.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/common.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:23	27882/27882	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/pages/calculadora-seleccion.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/pages/calculadora-seleccion.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:23	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2028%20Feb%202026%2001:53:23%20GMT	https://fonts.googleapis.com/robots.txt		(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:53:23	816/816	---MC-	200	added ('OK')	text/css	date:Sat,%2028%20Feb%202026%2001:53:19%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;600;700&display=swap	C:/My%20Web%20Sites/beca18-2026/fonts.googleapis.com/css2.7b65f.delayed	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
